Rank,Actor_ID,Name,Img_link,Experince,Work
44,nm0000129,Tom Cruise,"https://m.media-amazon.com/images/M/MV5BYTFlOTdjMjgtNmY0ZC00MDgxLThjNmEtZGIxZTQyZDdkMTRjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR7,0,140,209_AL_.jpg",Actor,Top Gun (tt0092099)
45,nm0898597,Cerina Vincent,"https://m.media-amazon.com/images/M/MV5BMGMzNmM3M2EtNWVjYS00YTA1LWJlZGEtM2NhZWJlZWRiNDA5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,Cabin Fever (tt0303816)
46,nm1631269,Chloë Grace Moretz,"https://m.media-amazon.com/images/M/MV5BNjBlZTljOTctZmJjZS00YzE0LWE5NTUtMzA2MTE1MGQwMDFhXkEyXkFqcGdeQXVyMTYxNjg0Njgy._V1_UY209_CR13,0,140,209_AL_.jpg",Actress,Kick-Ass (tt1250777)
47,nm3526370,Brianne Howey,"https://m.media-amazon.com/images/M/MV5BNzg4NWFkMWYtNTU5NC00MWU3LWIyMzUtNTYxZGVjMDBkMTdhXkEyXkFqcGdeQXVyMjg5MTA0NDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,The Passage (tt1074206)
48,nm4004793,Letitia Wright,"https://m.media-amazon.com/images/M/MV5BMjIyMzgxMzc5N15BMl5BanBnXkFtZTgwNDg3NzYzMDI@._V1_UY209_CR32,0,140,209_AL_.jpg",Actress,Black Panther (tt1825683)
49,nm0005110,Ashton Kutcher,"https://m.media-amazon.com/images/M/MV5BMzIzMTE4NzcyMl5BMl5BanBnXkFtZTgwODA2NTQyNTM@._V1_UY209_CR87,0,140,209_AL_.jpg",Actor,That '70s Show (tt0165598)
50,nm0000138,Leonardo DiCaprio,"https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY209_CR7,0,140,209_AL_.jpg",Actor,Inception (tt1375666)
51,nm0002907,Alexander Skarsgård,"https://m.media-amazon.com/images/M/MV5BMTY1MjQxNjEzOF5BMl5BanBnXkFtZTgwMTU5ODM2ODE@._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,The Legend of Tarzan (tt0918940)
52,nm0177639,Jennifer Coolidge,"https://m.media-amazon.com/images/M/MV5BMTI3NjYyMzgxNl5BMl5BanBnXkFtZTcwMjgyMzM0Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg",Actress,A Mighty Wind (tt0310281)
53,nm2204178,Tenoch Huerta,"https://m.media-amazon.com/images/M/MV5BN2QwNmE4Y2YtZjNkMS00NDAzLTliYTgtYTgyZDYyMTcwYTM4XkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_UX140_CR0,0,140,209_AL_.jpg",Actor,Black Panther: Wakanda Forever (tt9114286)
54,nm0000093,Brad Pitt,"https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Producer,Ad Astra (tt2935510)
55,nm0000148,Harrison Ford,"https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Actor,Raiders of the Lost Ark (tt0082971)
